Timestamp,Temperature (°C),Heart Rate (BPM),Respiratory Rate (BPM),Alert
2025-04-02 15:04:37,38.7,113,18,Normal
2025-04-02 15:03:37,39.2,52,5,Bradycardia
2025-04-02 15:02:37,38.7,81,29,Normal
2025-04-02 15:01:37,39.1,76,28,Normal
2025-04-02 15:00:37,38.7,112,20,Normal
2025-04-02 14:59:37,38.9,77,28,Normal
2025-04-02 14:58:37,39.3,68,28,Normal
2025-04-02 14:57:37,38.4,83,12,Normal
2025-04-02 14:56:37,38.3,117,37,Normal
2025-04-02 14:55:37,38.6,169,18,Normal
2025-04-02 14:54:37,39.7,98,17,Fever
2025-04-02 14:53:37,38.5,81,29,Normal
2025-04-02 14:52:37,38.7,123,22,Normal
2025-04-02 14:51:37,39.1,74,5,Abnormal Breathing
2025-04-02 14:50:37,39.1,79,17,Normal
2025-04-02 14:49:37,38.5,124,21,Normal
2025-04-02 14:48:37,39.0,74,24,Normal
2025-04-02 14:47:37,38.5,80,15,Normal
2025-04-02 14:46:37,38.6,141,20,Normal
2025-04-02 14:45:37,38.4,93,40,Normal
2025-04-02 14:44:37,38.7,151,30,Normal
2025-04-02 14:43:37,38.7,89,37,Normal
2025-04-02 14:42:37,38.4,155,31,Normal
2025-04-02 14:41:37,38.7,95,21,Normal
2025-04-02 14:40:37,39.1,117,30,Normal
2025-04-02 14:39:37,38.3,160,12,Normal
2025-04-02 14:38:37,39.1,107,19,Normal
2025-04-02 14:37:37,38.7,115,20,Normal
2025-04-02 14:36:37,38.4,144,24,Normal
2025-04-02 14:35:37,38.6,59,17,Bradycardia
2025-04-02 14:34:37,38.4,149,21,Normal
2025-04-02 14:33:37,38.6,142,24,Normal
2025-04-02 14:32:37,39.3,94,12,Normal
2025-04-02 14:31:37,38.7,64,33,Normal
2025-04-02 14:30:37,39.5,108,12,Normal
2025-04-02 14:29:37,38.7,147,11,Normal
2025-04-02 14:28:37,39.1,175,34,Normal
2025-04-02 14:27:37,39.5,144,15,Normal
2025-04-02 14:26:37,38.4,82,11,Normal
2025-04-02 14:25:37,38.7,89,27,Normal
2025-04-02 14:24:37,39.0,129,26,Normal
2025-04-02 14:23:37,38.6,147,13,Normal
2025-04-02 14:22:37,39.2,103,34,Normal
2025-04-02 14:21:37,38.6,71,22,Normal
2025-04-02 14:20:37,38.6,80,6,Abnormal Breathing
2025-04-02 14:19:37,38.4,114,36,Normal
2025-04-02 14:18:37,38.5,135,20,Normal
2025-04-02 14:17:37,38.6,141,30,Normal
2025-04-02 14:16:37,39.2,88,22,Normal
2025-04-02 14:15:37,39.1,139,39,Normal
2025-04-02 14:14:37,39.1,146,25,Normal
2025-04-02 14:13:37,39.6,170,27,Fever
2025-04-02 14:12:37,38.5,120,33,Normal
2025-04-02 14:11:37,38.5,120,35,Normal
2025-04-02 14:10:37,39.0,134,29,Normal
2025-04-02 14:09:37,38.8,106,35,Normal
2025-04-02 14:08:37,38.6,73,17,Normal
2025-04-02 14:07:37,39.0,89,18,Normal
2025-04-02 14:06:37,38.6,80,16,Normal
2025-04-02 14:05:37,39.0,75,29,Normal
2025-04-02 14:04:37,38.4,113,23,Normal
2025-04-02 14:03:37,39.1,55,23,Bradycardia
2025-04-02 14:02:37,38.6,97,14,Normal
2025-04-02 14:01:37,38.3,178,37,Normal
2025-04-02 14:00:37,38.4,62,9,Normal
2025-04-02 13:59:37,38.6,72,33,Normal
2025-04-02 13:58:37,38.4,51,18,Bradycardia
2025-04-02 13:57:37,38.5,125,40,Normal
2025-04-02 13:56:37,38.8,79,26,Normal
2025-04-02 13:55:37,39.3,112,36,Normal
2025-04-02 13:54:37,39.1,70,36,Normal
2025-04-02 13:53:37,38.7,113,23,Normal
2025-04-02 13:52:37,38.5,77,25,Normal
2025-04-02 13:51:37,38.6,53,5,Bradycardia
2025-04-02 13:50:37,39.1,108,33,Normal
2025-04-02 13:49:37,38.9,78,15,Normal
2025-04-02 13:48:37,38.5,134,15,Normal
2025-04-02 13:47:37,38.6,119,23,Normal
2025-04-02 13:46:37,39.4,143,14,Normal
2025-04-02 13:45:37,38.8,107,20,Normal
2025-04-02 13:44:37,38.6,130,20,Normal
2025-04-02 13:43:37,38.4,106,8,Normal
2025-04-02 13:42:37,38.5,158,40,Normal
2025-04-02 13:41:37,39.5,83,28,Normal
2025-04-02 13:40:37,39.5,144,29,Normal
2025-04-02 13:39:37,38.5,139,29,Normal
2025-04-02 13:38:37,39.0,135,7,Abnormal Breathing
2025-04-02 13:37:37,38.9,122,17,Normal
2025-04-02 13:36:37,38.6,153,14,Normal
2025-04-02 13:35:37,39.6,83,27,Fever
2025-04-02 13:34:37,38.3,159,28,Normal
2025-04-02 13:33:37,38.6,73,18,Normal
2025-04-02 13:32:37,38.8,155,11,Normal
2025-04-02 13:31:37,38.4,57,7,Bradycardia
2025-04-02 13:30:37,38.7,105,40,Normal
2025-04-02 13:29:37,38.7,136,34,Normal
2025-04-02 13:28:37,38.7,91,25,Normal
2025-04-02 13:27:37,38.9,125,27,Normal
2025-04-02 13:26:37,38.6,103,11,Normal
2025-04-02 13:25:37,38.5,127,11,Normal
2025-04-02 13:24:37,38.6,121,17,Normal
2025-04-02 13:23:37,38.4,143,38,Normal
2025-04-02 13:22:37,38.6,57,8,Bradycardia
2025-04-02 13:21:37,38.5,130,23,Normal
2025-04-02 13:20:37,38.5,142,32,Normal
2025-04-02 13:19:37,38.4,115,36,Normal
2025-04-02 13:18:37,38.3,116,19,Normal
2025-04-02 13:17:37,38.6,93,16,Normal
2025-04-02 13:16:37,39.0,92,23,Normal
2025-04-02 13:15:37,39.1,152,28,Normal
2025-04-02 13:14:37,38.9,68,30,Normal
2025-04-02 13:13:37,38.8,159,37,Normal
2025-04-02 13:12:37,38.6,173,24,Normal
2025-04-02 13:11:37,38.4,96,11,Normal
2025-04-02 13:10:37,38.8,92,26,Normal
2025-04-02 13:09:37,38.4,130,19,Normal
2025-04-02 13:08:37,38.4,148,17,Normal
2025-04-02 13:07:37,38.7,94,6,Abnormal Breathing
2025-04-02 13:06:37,39.2,122,26,Normal
2025-04-02 13:05:37,38.3,83,21,Normal
2025-04-02 13:04:37,38.3,106,24,Normal
2025-04-02 13:03:37,38.3,130,35,Normal
2025-04-02 13:02:37,38.6,84,15,Normal
2025-04-02 13:01:37,38.6,58,17,Bradycardia
2025-04-02 13:00:37,38.4,111,22,Normal
2025-04-02 12:59:37,38.4,73,39,Normal
2025-04-02 12:58:37,39.0,105,20,Normal
2025-04-02 12:57:37,38.3,162,21,Normal
2025-04-02 12:56:37,38.6,126,15,Normal
2025-04-02 12:55:37,38.6,158,23,Normal
2025-04-02 12:54:37,38.4,112,16,Normal
2025-04-02 12:53:37,39.1,93,22,Normal
2025-04-02 12:52:37,38.3,146,32,Normal
2025-04-02 12:51:37,38.4,116,13,Normal
2025-04-02 12:50:37,38.8,122,15,Normal
2025-04-02 12:49:37,38.5,77,15,Normal
2025-04-02 12:48:37,38.5,136,29,Normal
2025-04-02 12:47:37,38.4,112,23,Normal
2025-04-02 12:46:37,38.3,131,27,Normal
2025-04-02 12:45:37,38.6,177,35,Normal
2025-04-02 12:44:37,38.7,175,19,Normal
2025-04-02 12:43:37,38.5,164,28,Normal
2025-04-02 12:42:37,39.6,101,19,Fever
2025-04-02 12:41:37,39.3,140,9,Normal
2025-04-02 12:40:37,38.6,132,15,Normal
2025-04-02 12:39:37,38.3,68,14,Normal
2025-04-02 12:38:37,38.3,157,39,Normal
2025-04-02 12:37:37,38.5,104,7,Abnormal Breathing
2025-04-02 12:36:37,38.3,135,36,Normal
2025-04-02 12:35:37,39.6,110,21,Fever
2025-04-02 12:34:37,39.0,172,27,Normal
2025-04-02 12:33:37,38.4,164,19,Normal
2025-04-02 12:32:37,38.6,52,12,Bradycardia
2025-04-02 12:31:37,38.7,175,14,Normal
2025-04-02 12:30:37,38.6,117,22,Normal
2025-04-02 12:29:37,38.7,70,12,Normal
2025-04-02 12:28:37,38.8,97,29,Normal
2025-04-02 12:27:37,38.4,115,10,Normal
2025-04-02 12:26:37,38.4,120,26,Normal
2025-04-02 12:25:37,38.9,93,30,Normal
2025-04-02 12:24:37,39.1,131,30,Normal
2025-04-02 12:23:37,38.5,91,10,Normal
2025-04-02 12:22:37,38.9,165,27,Normal
2025-04-02 12:21:37,38.7,93,30,Normal
2025-04-02 12:20:37,39.1,71,34,Normal
2025-04-02 12:19:37,38.6,134,15,Normal
2025-04-02 12:18:37,39.7,102,16,Fever
2025-04-02 12:17:37,38.4,70,24,Normal
2025-04-02 12:16:37,38.8,75,21,Normal
2025-04-02 12:15:37,38.9,148,29,Normal
2025-04-02 12:14:37,38.7,156,19,Normal
2025-04-02 12:13:37,39.1,179,25,Normal
2025-04-02 12:12:37,38.6,71,29,Normal
2025-04-02 12:11:37,38.7,85,7,Abnormal Breathing
2025-04-02 12:10:37,39.0,75,24,Normal
2025-04-02 12:09:37,38.5,113,27,Normal
2025-04-02 12:08:37,39.6,102,14,Fever
2025-04-02 12:07:37,39.5,83,40,Normal
2025-04-02 12:06:37,38.6,115,22,Normal
2025-04-02 12:05:37,39.2,115,30,Normal
2025-04-02 12:04:37,39.2,114,19,Normal
2025-04-02 12:03:37,38.3,96,33,Normal
2025-04-02 12:02:37,39.3,134,27,Normal
2025-04-02 12:01:37,39.1,85,16,Normal
2025-04-02 12:00:37,38.5,134,24,Normal
2025-04-02 11:59:37,39.1,132,30,Normal
2025-04-02 11:58:37,38.6,105,18,Normal
2025-04-02 11:57:37,38.4,179,32,Normal
2025-04-02 11:56:37,38.5,116,25,Normal
2025-04-02 11:55:37,39.1,135,11,Normal
2025-04-02 11:54:37,39.3,89,19,Normal
2025-04-02 11:53:37,38.3,129,15,Normal
2025-04-02 11:52:37,38.6,131,10,Normal
2025-04-02 11:51:37,39.1,108,16,Normal
2025-04-02 11:50:37,38.6,126,27,Normal
2025-04-02 11:49:37,38.3,127,13,Normal
2025-04-02 11:48:37,39.3,59,12,Bradycardia
2025-04-02 11:47:37,38.8,118,28,Normal
2025-04-02 11:46:37,38.8,105,32,Normal
2025-04-02 11:45:37,38.6,59,18,Bradycardia
2025-04-02 11:44:37,38.9,98,13,Normal
2025-04-02 11:43:37,38.5,72,29,Normal
2025-04-02 11:42:37,38.4,89,16,Normal
2025-04-02 11:41:37,38.4,98,17,Normal
2025-04-02 11:40:37,39.3,98,39,Normal
2025-04-02 11:39:37,39.0,104,32,Normal
2025-04-02 11:38:37,38.8,74,20,Normal
2025-04-02 11:37:37,39.1,108,23,Normal
2025-04-02 11:36:37,38.3,125,19,Normal
2025-04-02 11:35:37,38.4,126,33,Normal
2025-04-02 11:34:37,39.0,97,24,Normal
2025-04-02 11:33:37,38.8,100,31,Normal
2025-04-02 11:32:37,38.7,90,18,Normal
2025-04-02 11:31:37,38.4,122,24,Normal
2025-04-02 11:30:37,38.7,136,11,Normal
2025-04-02 11:29:37,39.0,87,20,Normal
2025-04-02 11:28:37,38.5,177,11,Normal
2025-04-02 11:27:37,38.5,72,13,Normal
2025-04-02 11:26:37,38.9,172,18,Normal
2025-04-02 11:25:37,39.2,154,22,Normal
2025-04-02 11:24:37,38.9,161,30,Normal
2025-04-02 11:23:37,38.7,76,16,Normal
2025-04-02 11:22:37,38.3,107,14,Normal
2025-04-02 11:21:37,38.4,90,8,Normal
2025-04-02 11:20:37,39.1,83,33,Normal
2025-04-02 11:19:37,38.5,122,32,Normal
2025-04-02 11:18:37,38.5,92,32,Normal
2025-04-02 11:17:37,38.4,101,28,Normal
2025-04-02 11:16:37,38.6,116,9,Normal
2025-04-02 11:15:37,38.9,86,25,Normal
2025-04-02 11:14:37,38.7,117,14,Normal
2025-04-02 11:13:37,38.8,70,40,Normal
2025-04-02 11:12:37,38.6,151,34,Normal
2025-04-02 11:11:37,39.1,91,25,Normal
2025-04-02 11:10:37,38.7,100,17,Normal
2025-04-02 11:09:37,38.5,133,14,Normal
2025-04-02 11:08:37,39.4,152,29,Normal
2025-04-02 11:07:37,38.7,113,27,Normal
2025-04-02 11:06:37,38.7,95,14,Normal
2025-04-02 11:05:37,38.9,75,11,Normal
2025-04-02 11:04:37,38.6,111,32,Normal
2025-04-02 11:03:37,39.3,86,19,Normal
2025-04-02 11:02:37,39.0,146,23,Normal
2025-04-02 11:01:37,39.6,133,6,Fever
2025-04-02 11:00:37,38.7,134,36,Normal
2025-04-02 10:59:37,38.6,135,29,Normal
2025-04-02 10:58:37,38.9,142,13,Normal
2025-04-02 10:57:37,38.5,169,14,Normal
2025-04-02 10:56:37,38.4,65,10,Normal
2025-04-02 10:55:37,38.5,91,20,Normal
2025-04-02 10:54:37,38.9,119,9,Normal
2025-04-02 10:53:37,38.4,128,27,Normal
2025-04-02 10:52:37,39.5,93,17,Normal
2025-04-02 10:51:37,38.8,68,5,Abnormal Breathing
2025-04-02 10:50:37,39.4,168,12,Normal
2025-04-02 10:49:37,38.9,87,6,Abnormal Breathing
2025-04-02 10:48:37,38.5,56,32,Bradycardia
2025-04-02 10:47:37,38.8,94,25,Normal
2025-04-02 10:46:37,38.8,143,28,Normal
2025-04-02 10:45:37,38.6,115,10,Normal
2025-04-02 10:44:37,39.3,96,21,Normal
2025-04-02 10:43:37,38.4,94,13,Normal
2025-04-02 10:42:37,38.3,148,15,Normal
2025-04-02 10:41:37,39.5,130,32,Normal
2025-04-02 10:40:37,38.6,111,29,Normal
2025-04-02 10:39:37,38.9,132,27,Normal
2025-04-02 10:38:37,38.9,104,21,Normal
2025-04-02 10:37:37,38.8,90,21,Normal
2025-04-02 10:36:37,39.4,137,28,Normal
2025-04-02 10:35:37,39.1,135,11,Normal
2025-04-02 10:34:37,39.0,81,19,Normal
2025-04-02 10:33:37,38.4,127,37,Normal
2025-04-02 10:32:37,38.7,136,22,Normal
2025-04-02 10:31:37,38.5,86,12,Normal
2025-04-02 10:30:37,39.1,171,18,Normal
2025-04-02 10:29:37,38.5,89,31,Normal
2025-04-02 10:28:37,38.6,134,26,Normal
2025-04-02 10:27:37,38.5,105,21,Normal
2025-04-02 10:26:37,38.5,78,25,Normal
2025-04-02 10:25:37,38.5,98,34,Normal
2025-04-02 10:24:37,39.1,119,38,Normal
2025-04-02 10:23:37,38.4,78,31,Normal
2025-04-02 10:22:37,39.3,121,23,Normal
2025-04-02 10:21:37,39.1,129,14,Normal
2025-04-02 10:20:37,39.0,95,24,Normal
2025-04-02 10:19:37,38.6,57,22,Bradycardia
2025-04-02 10:18:37,39.5,141,16,Normal
2025-04-02 10:17:37,38.4,123,15,Normal
2025-04-02 10:16:37,39.7,129,31,Fever
2025-04-02 10:15:37,39.2,96,18,Normal
2025-04-02 10:14:37,38.8,85,30,Normal
2025-04-02 10:13:37,38.7,132,29,Normal
2025-04-02 10:12:37,39.3,90,15,Normal
2025-04-02 10:11:37,38.5,68,18,Normal
2025-04-02 10:10:37,38.3,124,17,Normal
2025-04-02 10:09:37,38.9,72,22,Normal
2025-04-02 10:08:37,39.5,162,33,Normal
2025-04-02 10:07:37,38.7,78,24,Normal
2025-04-02 10:06:37,38.3,138,24,Normal
2025-04-02 10:05:37,39.1,163,13,Normal
2025-04-02 10:04:37,38.5,108,17,Normal
2025-04-02 10:03:37,39.3,117,18,Normal
2025-04-02 10:02:37,38.3,56,31,Bradycardia
2025-04-02 10:01:37,38.4,162,23,Normal
2025-04-02 10:00:37,38.6,152,21,Normal
2025-04-02 09:59:37,38.4,108,9,Normal
2025-04-02 09:58:37,38.6,172,13,Normal
2025-04-02 09:57:37,38.5,100,29,Normal
2025-04-02 09:56:37,38.4,133,27,Normal
2025-04-02 09:55:37,39.2,160,5,Abnormal Breathing
2025-04-02 09:54:37,38.4,51,15,Bradycardia
2025-04-02 09:53:37,38.6,122,17,Normal
2025-04-02 09:52:37,38.7,108,25,Normal
2025-04-02 09:51:37,39.1,104,17,Normal
2025-04-02 09:50:37,38.3,140,19,Normal
2025-04-02 09:49:37,38.6,173,34,Normal
2025-04-02 09:48:37,39.2,80,27,Normal
2025-04-02 09:47:37,38.4,106,25,Normal
2025-04-02 09:46:37,39.0,120,12,Normal
2025-04-02 09:45:37,38.7,53,31,Bradycardia
2025-04-02 09:44:37,38.6,102,37,Normal
2025-04-02 09:43:37,38.4,155,27,Normal
2025-04-02 09:42:37,38.6,176,30,Normal
2025-04-02 09:41:37,38.7,162,7,Abnormal Breathing
2025-04-02 09:40:37,38.6,120,16,Normal
2025-04-02 09:39:37,38.6,107,21,Normal
2025-04-02 09:38:37,38.4,142,23,Normal
2025-04-02 09:37:37,38.6,137,16,Normal
2025-04-02 09:36:37,39.0,131,16,Normal
2025-04-02 09:35:37,39.0,110,30,Normal
2025-04-02 09:34:37,38.6,131,20,Normal
2025-04-02 09:33:37,38.5,108,32,Normal
2025-04-02 09:32:37,38.3,142,10,Normal
2025-04-02 09:31:37,38.5,110,31,Normal
2025-04-02 09:30:37,39.0,169,35,Normal
2025-04-02 09:29:37,38.7,156,15,Normal
2025-04-02 09:28:37,38.6,90,10,Normal
2025-04-02 09:27:37,38.9,151,30,Normal
2025-04-02 09:26:37,38.5,93,32,Normal
2025-04-02 09:25:37,38.4,137,18,Normal
2025-04-02 09:24:37,38.6,123,32,Normal
2025-04-02 09:23:37,39.6,135,30,Fever
2025-04-02 09:22:37,38.6,130,38,Normal
2025-04-02 09:21:37,38.4,147,18,Normal
2025-04-02 09:20:37,38.4,134,7,Abnormal Breathing
2025-04-02 09:19:37,39.0,79,33,Normal
2025-04-02 09:18:37,38.4,173,26,Normal
2025-04-02 09:17:37,38.4,152,36,Normal
2025-04-02 09:16:37,39.6,133,18,Fever
2025-04-02 09:15:37,38.4,139,28,Normal
2025-04-02 09:14:37,38.6,119,16,Normal
2025-04-02 09:13:37,39.1,91,16,Normal
2025-04-02 09:12:37,38.3,115,27,Normal
2025-04-02 09:11:37,39.5,84,17,Normal
2025-04-02 09:10:37,38.9,156,15,Normal
2025-04-02 09:09:37,39.2,157,10,Normal
2025-04-02 09:08:37,38.7,109,6,Abnormal Breathing
2025-04-02 09:07:37,38.3,156,27,Normal
2025-04-02 09:06:37,39.4,107,30,Normal
2025-04-02 09:05:37,39.0,70,15,Normal
2025-04-02 09:04:37,39.0,136,39,Normal
2025-04-02 09:03:37,38.7,119,33,Normal
2025-04-02 09:02:37,39.4,110,32,Normal
2025-04-02 09:01:37,38.7,106,7,Abnormal Breathing
2025-04-02 09:00:37,38.6,152,20,Normal
2025-04-02 08:59:37,39.6,93,25,Fever
2025-04-02 08:58:37,38.6,84,32,Normal
2025-04-02 08:57:37,38.4,168,13,Normal
2025-04-02 08:56:37,39.1,69,14,Normal
2025-04-02 08:55:37,38.4,107,21,Normal
2025-04-02 08:54:37,38.9,118,11,Normal
2025-04-02 08:53:37,38.5,101,7,Abnormal Breathing
2025-04-02 08:52:37,38.7,112,28,Normal
2025-04-02 08:51:37,38.6,112,34,Normal
2025-04-02 08:50:37,38.9,71,18,Normal
2025-04-02 08:49:37,39.5,91,11,Normal
2025-04-02 08:48:37,38.7,125,31,Normal
2025-04-02 08:47:37,38.5,91,25,Normal
2025-04-02 08:46:37,38.7,107,34,Normal
2025-04-02 08:45:37,38.8,139,19,Normal
2025-04-02 08:44:37,39.6,90,23,Fever
2025-04-02 08:43:37,39.6,116,21,Fever
2025-04-02 08:42:37,39.1,60,33,Normal
2025-04-02 08:41:37,38.4,114,32,Normal
2025-04-02 08:40:37,39.3,133,19,Normal
2025-04-02 08:39:37,38.4,77,10,Normal
2025-04-02 08:38:37,38.5,132,11,Normal
2025-04-02 08:37:37,38.6,94,37,Normal
2025-04-02 08:36:37,38.6,123,10,Normal
2025-04-02 08:35:37,39.5,145,32,Normal
2025-04-02 08:34:37,39.6,81,29,Fever
2025-04-02 08:33:37,39.2,103,21,Normal
2025-04-02 08:32:37,38.6,178,28,Normal
2025-04-02 08:31:37,38.6,90,33,Normal
2025-04-02 08:30:37,38.6,134,30,Normal
2025-04-02 08:29:37,38.5,158,17,Normal
2025-04-02 08:28:37,38.5,123,23,Normal
2025-04-02 08:27:37,38.5,72,18,Normal
2025-04-02 08:26:37,39.0,121,15,Normal
2025-04-02 08:25:37,38.6,115,38,Normal
2025-04-02 08:24:37,38.4,147,19,Normal
2025-04-02 08:23:37,38.7,93,38,Normal
2025-04-02 08:22:37,38.5,141,25,Normal
2025-04-02 08:21:37,38.6,140,20,Normal
2025-04-02 08:20:37,39.1,107,24,Normal
2025-04-02 08:19:37,38.5,179,14,Normal
2025-04-02 08:18:37,38.5,96,28,Normal
2025-04-02 08:17:37,38.6,79,24,Normal
2025-04-02 08:16:37,38.4,80,24,Normal
2025-04-02 08:15:37,38.5,135,24,Normal
2025-04-02 08:14:37,38.4,107,18,Normal
2025-04-02 08:13:37,39.5,84,18,Normal
2025-04-02 08:12:37,38.5,57,19,Bradycardia
2025-04-02 08:11:37,39.4,98,14,Normal
2025-04-02 08:10:37,38.5,110,29,Normal
2025-04-02 08:09:37,38.6,118,25,Normal
2025-04-02 08:08:37,38.4,71,24,Normal
2025-04-02 08:07:37,38.4,150,20,Normal
2025-04-02 08:06:37,39.0,123,15,Normal
2025-04-02 08:05:37,38.9,95,18,Normal
2025-04-02 08:04:37,38.8,90,35,Normal
2025-04-02 08:03:37,38.9,136,33,Normal
2025-04-02 08:02:37,38.7,83,34,Normal
2025-04-02 08:01:37,38.4,105,39,Normal
2025-04-02 08:00:37,39.0,132,32,Normal
2025-04-02 07:59:37,38.5,154,20,Normal
2025-04-02 07:58:37,39.6,91,24,Fever
2025-04-02 07:57:37,38.3,80,17,Normal
